ARS_K,ARS_P,RVI_P,QSt_P,ADX_P,MinScore,NetLot,Net Profit,Trades,PF
0.01,3,10,8,21,3,20,3092.0,2771,1.0780118582061309
0.015,8,10,8,21,3,20,3092.0,2771,1.0780118582061309
0.01,8,10,8,21,3,20,3092.0,2771,1.0780118582061309
0.02,5,10,8,21,3,20,3092.0,2771,1.0780118582061309
0.02,8,10,8,21,3,20,3092.0,2771,1.0780118582061309
0.01,5,10,8,21,3,20,3092.0,2771,1.0780118582061309
0.02,3,10,8,21,3,20,3092.0,2771,1.0780118582061309
0.015,3,10,8,21,3,20,3092.0,2771,1.0780118582061309
0.015,5,10,8,21,3,20,3092.0,2771,1.0780118582061309
0.015,8,14,13,21,3,20,3071.0,2425,1.0847406181015453
0.02,3,14,13,21,3,20,3071.0,2425,1.0847406181015453
0.01,5,14,13,21,3,20,3071.0,2425,1.0847406181015453
0.02,5,14,13,21,3,20,3071.0,2425,1.0847406181015453
0.015,3,14,13,21,3,20,3071.0,2425,1.0847406181015453
0.02,8,14,13,21,3,20,3071.0,2425,1.0847406181015453
0.015,5,14,13,21,3,20,3071.0,2425,1.0847406181015453
0.01,3,14,13,21,3,20,3071.0,2425,1.0847406181015453
0.01,8,14,13,21,3,20,3071.0,2425,1.0847406181015453
0.015,8,21,8,21,4,10,2996.0,2277,1.0774120200506434
0.015,3,21,8,21,4,10,2996.0,2277,1.0774120200506434
0.01,3,21,8,21,4,10,2996.0,2277,1.0774120200506434
0.015,5,21,8,21,4,10,2996.0,2277,1.0774120200506434
0.02,8,21,8,21,4,10,2996.0,2277,1.0774120200506434
0.01,5,21,8,21,4,10,2996.0,2277,1.0774120200506434
0.01,8,21,8,21,4,10,2996.0,2277,1.0774120200506434
0.02,3,21,8,21,4,10,2996.0,2277,1.0774120200506434
0.02,5,21,8,21,4,10,2996.0,2277,1.0774120200506434
0.01,5,21,5,21,4,20,2962.0,2460,1.0739557064742453
0.02,5,21,5,21,4,20,2962.0,2460,1.0739557064742453
0.015,5,21,5,21,4,20,2962.0,2460,1.0739557064742453
0.01,3,21,5,21,4,20,2962.0,2460,1.0739557064742453
0.01,8,21,5,21,4,20,2962.0,2460,1.0739557064742453
0.02,8,21,5,21,4,20,2962.0,2460,1.0739557064742453
0.02,3,21,5,21,4,20,2962.0,2460,1.0739557064742453
0.015,8,21,5,21,4,20,2962.0,2460,1.0739557064742453
0.015,3,21,5,21,4,20,2962.0,2460,1.0739557064742453
0.02,8,10,8,21,4,20,2881.0,2076,1.07645560214426
0.02,5,10,8,21,4,20,2881.0,2076,1.07645560214426
0.01,5,10,8,21,4,20,2881.0,2076,1.07645560214426
0.01,3,10,8,21,4,20,2881.0,2076,1.07645560214426
0.015,5,10,8,21,4,20,2881.0,2076,1.07645560214426
0.015,8,10,8,21,4,20,2881.0,2076,1.07645560214426
0.015,3,10,8,21,4,20,2881.0,2076,1.07645560214426
0.01,8,10,8,21,4,20,2881.0,2076,1.07645560214426
0.02,3,10,8,21,4,20,2881.0,2076,1.07645560214426
0.01,8,10,13,21,3,20,2825.0,2300,1.0778623008654429
0.02,8,10,13,21,3,20,2825.0,2300,1.0778623008654429
0.01,3,10,13,21,3,20,2825.0,2300,1.0778623008654429
0.015,3,10,13,21,3,20,2825.0,2300,1.0778623008654429
0.02,3,10,13,21,3,20,2825.0,2300,1.0778623008654429
0.02,5,10,13,21,3,20,2825.0,2300,1.0778623008654429
0.015,5,10,13,21,3,20,2825.0,2300,1.0778623008654429
0.015,8,10,13,21,3,20,2825.0,2300,1.0778623008654429
0.01,5,10,13,21,3,20,2825.0,2300,1.0778623008654429
0.015,5,10,5,21,4,20,2818.0,2483,1.069908211361945
0.015,8,10,5,21,4,20,2818.0,2483,1.069908211361945
0.01,3,10,5,21,4,20,2818.0,2483,1.069908211361945
0.02,8,10,5,21,4,20,2818.0,2483,1.069908211361945
0.015,3,10,5,21,4,20,2818.0,2483,1.069908211361945
0.02,5,10,5,21,4,20,2818.0,2483,1.069908211361945
0.02,3,10,5,21,4,20,2818.0,2483,1.069908211361945
0.01,8,10,5,21,4,20,2818.0,2483,1.069908211361945
0.01,5,10,5,21,4,20,2818.0,2483,1.069908211361945
0.015,8,21,13,21,3,20,2801.0,2457,1.0769420942753543
0.02,8,21,13,21,3,20,2801.0,2457,1.0769420942753543
0.015,5,21,13,21,3,20,2801.0,2457,1.0769420942753543
0.02,5,21,13,21,3,20,2801.0,2457,1.0769420942753543
0.01,3,21,13,21,3,20,2801.0,2457,1.0769420942753543
0.01,5,21,13,21,3,20,2801.0,2457,1.0769420942753543
0.02,3,21,13,21,3,20,2801.0,2457,1.0769420942753543
0.015,3,21,13,21,3,20,2801.0,2457,1.0769420942753543
0.01,8,21,13,21,3,20,2801.0,2457,1.0769420942753543
0.01,3,10,8,21,4,10,2773.0,2350,1.0706550819170892
0.015,8,10,8,21,4,10,2773.0,2350,1.0706550819170892
0.02,8,10,8,21,4,10,2773.0,2350,1.0706550819170892
0.02,3,10,8,21,4,10,2773.0,2350,1.0706550819170892
0.01,5,10,8,21,4,10,2773.0,2350,1.0706550819170892
0.015,5,10,8,21,4,10,2773.0,2350,1.0706550819170892
0.01,8,10,8,21,4,10,2773.0,2350,1.0706550819170892
0.015,3,10,8,21,4,10,2773.0,2350,1.0706550819170892
0.02,5,10,8,21,4,10,2773.0,2350,1.0706550819170892
0.015,5,21,8,21,3,20,2733.0,2869,1.0687063200764242
0.01,3,21,8,21,3,20,2733.0,2869,1.0687063200764242
0.01,5,21,8,21,3,20,2733.0,2869,1.0687063200764242
0.015,8,21,8,21,3,20,2733.0,2869,1.0687063200764242
0.015,3,21,8,21,3,20,2733.0,2869,1.0687063200764242
0.02,3,21,8,21,3,20,2733.0,2869,1.0687063200764242
