min_score,netlot_th,adx_th,ars_mesafe_th,Net Profit,Trades,Win Rate,Profit Factor
5,20,25,0.25,4756.0,3443,34.0691257624165,1.143473407945941
5,20,25,0.15,4685.0,3508,33.8939566704675,1.139268727705113
5,20,25,0.1,4614.0,3556,33.68953880764904,1.1357338275527313
5,20,30,0.15,4432.0,3162,33.048703352308664,1.1362644119907763
5,20,30,0.25,4420.0,3105,33.17230273752013,1.1376603961629501
5,20,30,0.1,4347.0,3205,32.91731669266771,1.1322442274345168
5,15,25,0.15,4155.0,4018,33.72324539571927,1.115218235261494
5,15,25,0.25,4115.0,3946,33.628991383679676,1.1155184998034922
5,15,25,0.1,4101.0,4078,33.49681216282491,1.1125596969863314
5,10,30,0.15,4055.0,4068,33.161258603736485,1.1098677793432319
5,10,30,0.1,3964.0,4127,32.97795008480737,1.1061198265246024
5,15,30,0.15,3743.0,3661,32.17700081944824,1.1061271938529587
5,15,30,0.1,3675.0,3713,31.968758416374897,1.1031810652216638
5,15,30,0.25,3660.0,3594,32.10907067334446,1.1049853708909414
5,10,30,0.25,3657.0,4000,33.025,1.0997272975184074
5,10,25,0.15,3551.0,4446,34.39046333783176,1.0920472808336357
5,10,25,0.1,3473.0,4513,34.14580101927764,1.088932705111134
4,20,30,0.1,3357.0,8845,36.55172413793103,1.0666640189050183
4,20,30,0.15,3330.0,8713,36.80706989555836,1.0668071020162504
5,10,25,0.25,3187.0,4371,34.3628460306566,1.0833180831873677
4,20,30,0.25,3147.0,8408,36.667459562321596,1.064296659515783
4,20,25,0.15,3143.0,7945,36.28697293895532,1.0640722469115669
4,20,25,0.1,3113.0,8079,35.98217601188266,1.0627254226359588
5,20,20,0.25,3086.0,3930,33.25699745547074,1.083733550400217
5,10,20,0.15,3010.0,4947,34.42490398221144,1.0740085072902068
5,5,30,0.15,2996.0,4397,33.272685922219694,1.0764285714285715
5,20,20,0.15,2986.0,4004,33.2917082917083,1.0798353029249772
5,20,20,0.1,2983.0,4058,33.11976343026121,1.079021960846645
5,5,30,0.1,2972.0,4465,33.236282194848826,1.074972881612472
5,10,20,0.1,2966.0,5020,34.30278884462151,1.0720812676193254
4,20,25,0.25,2957.0,7652,36.08207004704652,1.0613829323479957
5,5,25,0.1,2940.0,4891,34.083009609486815,1.0723087139378735
5,5,25,0.15,2934.0,4819,34.15646399667981,1.0729089011480544
5,10,15,0.15,2841.0,5325,33.990610328638496,1.0693180431865317
3,20,30,0.1,2823.0,11260,37.238010657193605,1.0478977908989107
5,10,15,0.1,2808.0,5407,33.88200480858147,1.0677655235658952
3,20,30,0.15,2807.0,11074,37.4119559328156,1.0482683908243629
3,10,20,0.15,2760.0,9091,36.40963590364096,1.0518163897493664
