NetProfit,PF,MaxDD,Trades,SmartScore,Params
9446.0,1.2773259739878453,779.0,2373,10439.194627348319,"ARS(5,0.01) ADX(30) RVI(10) Q(8) Sc(3) NL(20)"
9565.0,1.255059865070265,815.0,2849,10322.13895906886,"ARS(3,0.01) ADX(21) RVI(21) Q(8) Sc(4) NL(10)"
9682.0,1.244773100745797,846.0,3403,10307.811462043112,"ARS(3,0.01) ADX(21) RVI(10) Q(8) Sc(3) NL(20)"
9311.0,1.2704092004762872,884.0,2401,10051.648594183132,"ARS(3,0.01) ADX(30) RVI(10) Q(8) Sc(3) NL(20)"
9201.0,1.256452422097107,858.0,2535,9867.376865581668,"ARS(3,0.01) ADX(21) RVI(21) Q(8) Sc(4) NL(20)"
9253.0,1.2520841279354873,887.0,2576,9839.930725146138,"ARS(3,0.01) ADX(21) RVI(10) Q(8) Sc(4) NL(20)"
9446.0,1.242896448867289,984.0,2940,9809.826082888043,"ARS(3,0.01) ADX(21) RVI(14) Q(5) Sc(4) NL(20)"
9448.0,1.2630143087801347,1098.0,2508,9784.322064082251,"ARS(3,0.01) ADX(21) RVI(14) Q(8) Sc(4) NL(20)"
9320.0,1.2408144281949254,916.0,2953,9773.82561762737,"ARS(3,0.01) ADX(21) RVI(21) Q(5) Sc(4) NL(20)"
8887.0,1.275574436416633,814.0,2160,9748.907822871188,"ARS(5,0.01) ADX(30) RVI(14) Q(13) Sc(3) NL(20)"
9203.0,1.2318778502859735,861.0,3380,9671.533745249799,"ARS(5,0.01) ADX(21) RVI(10) Q(8) Sc(3) NL(20)"
9105.0,1.2557296932928885,942.0,2620,9620.850603695515,"ARS(5,0.01) ADX(30) RVI(10) Q(5) Sc(3) NL(20)"
8746.0,1.2720711752628633,811.0,1884,9572.822662922907,"ARS(3,0.01) ADX(30) RVI(10) Q(8) Sc(4) NL(20)"
9123.0,1.2485763330699435,956.0,2970,9562.426029715492,"ARS(3,0.01) ADX(21) RVI(14) Q(13) Sc(3) NL(20)"
9028.0,1.2474102493833927,896.0,2824,9550.220260713424,"ARS(3,0.01) ADX(21) RVI(10) Q(13) Sc(3) NL(20)"
9238.0,1.225961891250642,990.0,3471,9453.61932501956,"ARS(3,0.01) ADX(21) RVI(21) Q(5) Sc(4) NL(10)"
8986.0,1.228442139515965,850.0,2964,9434.85561170125,"ARS(3,0.01) ADX(21) RVI(10) Q(5) Sc(4) NL(20)"
8963.0,1.2200427172071784,811.0,3659,9409.08868897603,"ARS(3,0.01) ADX(14) RVI(21) Q(8) Sc(4) NL(20)"
9242.0,1.234491157739832,1067.0,3487,9402.643217266794,"ARS(3,0.01) ADX(21) RVI(21) Q(8) Sc(3) NL(20)"
8801.0,1.2473928320449754,848.0,2764,9386.375098177008,"ARS(5,0.01) ADX(30) RVI(10) Q(8) Sc(3) NL(10)"
8773.0,1.2613423098692247,910.0,2134,9361.891780442224,"ARS(3,0.01) ADX(30) RVI(10) Q(5) Sc(4) NL(20)"
9094.0,1.2527234326367274,1096.0,2475,9344.0509320853,"ARS(5,0.01) ADX(21) RVI(14) Q(8) Sc(4) NL(20)"
8993.0,1.2352587244283995,945.0,2827,9342.877803855841,"ARS(3,0.01) ADX(21) RVI(14) Q(8) Sc(4) NL(10)"
8521.0,1.2656668953046082,776.0,1864,9335.827228956516,"ARS(5,0.01) ADX(30) RVI(10) Q(8) Sc(4) NL(20)"
8570.0,1.2668784255107126,837.0,2089,9300.28105758678,"ARS(5,0.01) ADX(30) RVI(10) Q(13) Sc(3) NL(20)"
9109.0,1.215817281493591,956.0,3773,9297.246152724245,"ARS(3,0.01) ADX(21) RVI(10) Q(5) Sc(3) NL(20)"
8902.0,1.2053565249486724,778.0,4151,9285.292302780445,"ARS(3,0.01) ADX(14) RVI(21) Q(8) Sc(4) NL(10)"
8731.0,1.2365035078690034,821.0,2561,9273.245256145221,"ARS(5,0.01) ADX(21) RVI(10) Q(8) Sc(4) NL(20)"
8714.0,1.2295634763824126,786.0,2832,9258.91473660244,"ARS(5,0.01) ADX(21) RVI(21) Q(8) Sc(4) NL(10)"
8851.0,1.251298940972715,981.0,2839,9258.691628949593,"ARS(5,0.01) ADX(30) RVI(21) Q(8) Sc(3) NL(10)"
8948.0,1.2494494159627554,1043.0,2647,9250.4330415644,"ARS(3,0.01) ADX(30) RVI(10) Q(5) Sc(3) NL(20)"
