,NP,PF,DD,Tr,T_Per,T_Opt,KA,IS,ML,MH,Score
991,7988.0,2.119551506657323,807.0,109,97,1.5,0.0,0.0,-9999.0,9999.0,16930.9774351787
1016,7922.0,2.10411149825784,810.0,109,99,1.5,0.0,0.0,-9999.0,9999.0,16668.77128919861
844,7746.0,2.048031389527804,704.0,113,83,1.5,0.0,0.0,-9999.0,9999.0,15864.051143282371
970,7630.0,2.0407857045423543,789.0,111,95,1.5,0.0,0.0,-9999.0,9999.0,15571.194925658163
865,7560.0,2.009885118888592,704.0,113,85,1.5,0.0,0.0,-9999.0,9999.0,15194.731498797755
762,7542.0,2.004528502930208,594.0,115,75,1.5,0.0,0.0,-9999.0,9999.0,15118.153969099627
783,7486.0,1.9857782459836713,653.0,115,77,1.5,0.0,0.0,-9999.0,9999.0,14865.535949433763
887,7410.0,1.979899497487437,748.0,113,87,1.5,0.0,0.0,-9999.0,9999.0,14671.055276381909
908,7390.0,1.973906167633105,748.0,113,89,1.5,0.0,0.0,-9999.0,9999.0,14587.166578808645
804,7366.0,1.9632535634889499,704.0,115,79,1.5,0.0,0.0,-9999.0,9999.0,14461.325748659605
930,7286.0,1.955165180912428,748.0,113,91,1.5,0.0,0.0,-9999.0,9999.0,14245.333508127951
824,7244.0,1.9465569057885797,704.0,115,81,1.5,0.0,0.0,-9999.0,9999.0,14100.85822553247
947,7258.0,1.9416190970420342,789.0,113,93,1.5,0.0,0.0,-9999.0,9999.0,14092.271406331083
0,9606.0,1.4612503601267646,1101.0,589,3,0.7,0.0,0.0,-9999.0,9999.0,14036.7709593777
742,7220.0,1.912076806467913,594.0,117,73,1.5,0.0,0.0,-9999.0,9999.0,13805.194542698331
703,7169.0,1.8780159216166565,649.0,119,69,1.5,0.0,0.0,-9999.0,9999.0,13463.496142069811
705,6748.0,1.9271777960978291,981.0,103,69,1.7,0.0,0.0,-9999.0,9999.0,13004.595768068151
723,6995.0,1.8514911746804625,657.0,119,71,1.5,0.0,0.0,-9999.0,9999.0,12951.180766889835
175,9174.0,1.4091334790170806,918.0,679,19,0.5,0.0,0.0,-9999.0,9999.0,12927.390536502699
666,6977.0,1.8420226888727975,647.0,121,65,1.5,0.0,0.0,-9999.0,9999.0,12851.792300265508
312,7161.0,1.7939904645747866,828.0,138,31,1.5,0.0,0.0,-9999.0,9999.0,12846.765716820048
439,6572.0,1.941817139581542,880.0,94,43,1.9,0.0,0.0,-9999.0,9999.0,12761.622241329895
5,9466.0,1.3424003472473414,804.0,976,3,0.5,0.0,0.0,-9999.0,9999.0,12707.161687043334
503,6486.0,1.95748449955713,762.0,92,49,1.9,0.0,0.0,-9999.0,9999.0,12696.244464127545
685,6885.0,1.8297180043383947,649.0,121,67,1.5,0.0,0.0,-9999.0,9999.0,12597.608459869847
334,6576.0,1.9138410227904392,811.0,98,33,1.9,0.0,0.0,-9999.0,9999.0,12585.418565869928
270,6610.0,1.887248322147651,1013.0,100,27,1.9,0.0,0.0,-9999.0,9999.0,12474.711409395974
523,6878.0,1.8022862475212877,891.0,127,51,1.5,0.0,0.0,-9999.0,9999.0,12396.124810451418
724,6540.0,1.8860587996206477,981.0,103,71,1.7,0.0,0.0,-9999.0,9999.0,12334.824549519037
292,6504.0,1.8716161886893594,1013.0,100,29,1.9,0.0,0.0,-9999.0,9999.0,12172.991691235593
335,6921.0,1.758216476774759,841.0,138,33,1.5,0.0,0.0,-9999.0,9999.0,12168.616235758107
545,6796.0,1.7884905441466528,919.0,127,53,1.5,0.0,0.0,-9999.0,9999.0,12154.581738020652
459,6851.0,1.7720306513409962,962.0,131,45,1.5,0.0,0.0,-9999.0,9999.0,12140.181992337166
744,6468.0,1.872285906945381,983.0,103,73,1.7,0.0,0.0,-9999.0,9999.0,12109.945246122725
524,6128.0,1.9620094191522763,721.0,89,51,1.9,0.0,0.0,-9999.0,9999.0,12023.19372056515
358,6382.0,1.87400712133662,843.0,98,35,1.9,0.0,0.0,-9999.0,9999.0,11959.91344837031
377,6819.0,1.7533974146503148,865.0,137,37,1.5,0.0,0.0,-9999.0,9999.0,11956.416970500497
416,6793.0,1.7543586896168795,914.0,133,41,1.5,0.0,0.0,-9999.0,9999.0,11917.358578567462
480,6753.0,1.7579124579124579,966.0,131,47,1.5,0.0,0.0,-9999.0,9999.0,11871.182828282828
153,8679.0,1.367489520260829,969.0,703,17,0.5,0.0,0.0,-9999.0,9999.0,11868.441546343734
290,6847.0,1.7312046134130714,1000.0,142,29,1.5,0.0,0.0,-9999.0,9999.0,11853.5579880393
461,6274.0,1.8822950358599353,1060.0,94,45,1.9,0.0,0.0,-9999.0,9999.0,11809.519054985234
21,8845.0,1.333811374872627,769.0,906,5,0.5,0.0,0.0,-9999.0,9999.0,11797.561610748386
68,6797.0,1.7339380196523053,1070.0,136,9,1.7,0.0,0.0,-9999.0,9999.0,11785.576719576718
220,8508.0,1.3836926129701452,990.0,653,23,0.5,0.0,0.0,-9999.0,9999.0,11772.456751149995
763,6366.0,1.8492529348986126,991.0,103,75,1.7,0.0,0.0,-9999.0,9999.0,11772.344183564568
566,6646.0,1.7647871116225546,919.0,127,55,1.5,0.0,0.0,-9999.0,9999.0,11728.775143843499
197,8493.0,1.3776177137521675,962.0,667,21,0.5,0.0,0.0,-9999.0,9999.0,11700.107242897158
438,6703.0,1.744695033885124,930.0,133,43,1.5,0.0,0.0,-9999.0,9999.0,11694.690812131985
629,6628.0,1.762277170787809,974.0,125,61,1.5,0.0,0.0,-9999.0,9999.0,11680.3730879816
