,NP,PF,DD,Tr,T_Per,T_Opt,KA,IS,ML,MH,LB1,LB2,Score
182,9112.0,1.8169266630805092,971.0,305,97,1.5,0.0,0.0,99.0,101.5,145,160,16555.8357539896
165,8960.0,1.8474415965194364,971.0,277,97,1.5,0.0,0.0,98.5,101.5,145,160,16553.07670481415
166,8906.0,1.8423342476118414,971.0,277,97,1.5,0.0,0.0,98.5,101.5,145,165,16407.828809231058
183,9052.0,1.8085752568110764,1031.0,309,97,1.5,0.0,0.0,99.0,101.5,145,165,16371.223224653864
163,8872.0,1.8376923803229157,971.0,277,97,1.5,0.0,0.0,98.5,101.5,145,150,16304.006798224907
162,8854.0,1.8359928240959305,971.0,275,97,1.5,0.0,0.0,98.5,101.5,145,145,16255.880464545367
179,9014.0,1.7974873927275945,882.0,303,97,1.5,0.0,0.0,99.0,101.5,145,145,16202.551358046538
164,8834.0,1.834104428288169,971.0,277,97,1.5,0.0,0.0,98.5,101.5,145,155,16202.478519497687
148,8742.0,1.847010948551497,931.0,253,97,1.5,0.0,0.0,98.0,101.5,145,160,16146.569712237186
184,8944.0,1.7989280928986155,1031.0,309,97,1.5,0.0,0.0,99.0,101.5,145,170,16089.612862885217
185,8892.0,1.8056537102473498,1031.0,307,97,1.5,0.0,0.0,99.0,101.5,145,175,16055.872791519434
149,8688.0,1.8417788973936633,931.0,253,97,1.5,0.0,0.0,98.0,101.5,145,165,16001.375060556147
144,8712.0,1.8341631558789735,931.0,257,97,1.5,0.0,0.0,98.0,101.5,145,140,15979.229414017616
180,8930.0,1.7877558221594918,971.0,305,97,1.5,0.0,0.0,99.0,101.5,145,150,15964.659491884262
167,8748.0,1.8234961875176503,971.0,279,97,1.5,0.0,0.0,98.5,101.5,145,170,15951.944648404406
186,8842.0,1.7969355565570078,1031.0,313,97,1.5,0.0,0.0,99.0,101.5,145,180,15888.504191077063
152,8644.0,1.8375157445983916,931.0,255,97,1.5,0.0,0.0,98.0,101.5,145,180,15883.486096308498
145,8650.0,1.831011624555673,931.0,255,97,1.5,0.0,0.0,98.0,101.5,145,145,15838.250552406571
