Window,Test_Start,Test_End,Train_NP,Test_NP,Test_PF,Test_DD,ema_period,k_value,macdv_k,macdv_u,macdv_sig,netlot_period,adx_th,netlot_th
1,2024-05-02,2024-06-02,2202.6800000000003,414.9800000000032,3.0536447765626145,161.72999999999774,196.0,0.2,14.0,36.0,12.0,3.0,15.0,35.0
2,2024-06-02,2024-07-02,3139.9299999999985,-183.01000000000022,0.0,183.01000000000022,36.0,0.7000000000000001,20.0,43.0,15.0,4.0,15.0,25.0
3,2024-07-02,2024-08-02,1922.2099999999991,-58.42999999999847,0.0,58.42999999999847,289.0,1.8000000000000003,18.0,43.0,14.0,3.0,15.0,25.0
4,2024-08-02,2024-09-02,0.0,0.0,999.0,0.0,458.0,5.4,10.0,36.0,9.0,7.0,15.0,15.0
5,2024-09-02,2024-10-02,1311.2900000000027,-138.36999999999898,0.0,138.36999999999898,4.0,1.9000000000000001,8.0,24.0,5.0,3.0,15.0,20.0
6,2024-10-02,2024-11-02,1902.5600000000013,31.17000000000371,1.1612602824771285,116.24999999999818,46.0,0.7000000000000001,18.0,38.0,15.0,3.0,20.0,20.0
7,2024-11-02,2024-12-02,1681.0299999999988,-68.29999999999927,0.0,68.29999999999927,96.0,2.2,19.0,22.0,14.0,10.0,30.0,5.0
8,2024-12-02,2025-01-02,14.760000000000218,0.0,999.0,0.0,362.0,9.2,18.0,39.0,6.0,3.0,25.0,40.0
9,2025-01-02,2025-02-02,1476.5300000000025,-148.03999999999905,0.5635613207547183,240.39999999999964,21.0,0.1,16.0,20.0,8.0,8.0,15.0,10.0
10,2025-02-02,2025-03-02,1240.2499999999982,-75.29999999999927,0.0,75.29999999999927,18.0,1.7000000000000002,18.0,40.0,15.0,4.0,15.0,45.0
11,2025-03-02,2025-04-02,1157.2299999999996,-26.139999999999418,0.0,26.139999999999418,53.0,1.9000000000000004,19.0,29.0,11.0,10.0,20.0,15.0
12,2025-04-02,2025-05-02,309.8799999999992,0.0,999.0,0.0,795.0,4.3999999999999995,13.0,20.0,12.0,3.0,20.0,30.0
13,2025-05-02,2025-06-02,361.64000000000124,-5.139999999999418,0.0,5.139999999999418,445.0,3.4000000000000004,11.0,31.0,7.0,8.0,20.0,10.0
14,2025-06-02,2025-07-02,1436.2600000000002,0.0,999.0,0.0,401.0,3.4000000000000004,8.0,41.0,13.0,6.0,20.0,10.0
15,2025-07-02,2025-08-02,956.3000000000029,-81.77000000000044,0.0,81.77000000000044,153.0,0.7000000000000001,16.0,23.0,14.0,4.0,20.0,15.0
16,2025-08-02,2025-09-02,1003.7199999999993,-45.13000000000102,0.0,45.13000000000102,173.0,1.3,8.0,34.0,9.0,3.0,20.0,40.0
17,2025-09-02,2025-10-02,1346.7200000000012,-81.36000000000058,0.0,81.36000000000058,113.0,1.1,16.0,43.0,10.0,4.0,15.0,35.0
18,2025-10-02,2025-11-02,337.65999999999985,0.0,999.0,0.0,602.0,0.4,10.0,20.0,7.0,9.0,30.0,10.0
19,2025-11-02,2025-12-02,685.3700000000008,-254.29000000000087,0.0,254.29000000000087,320.0,1.7000000000000002,21.0,39.0,5.0,3.0,25.0,15.0
20,2025-12-02,2026-01-02,1395.4399999999987,0.0,999.0,0.0,93.0,1.4000000000000001,20.0,34.0,10.0,7.0,20.0,25.0
21,2026-01-02,2026-02-02,2003.9300000000112,-412.7100000000046,0.09052645496815602,412.7100000000046,24.0,0.20000000000000004,9.0,40.0,14.0,7.0,15.0,5.0
